date,category,region,units_sold,revenue
2025-01-01,Home & Garden,West,1,66.77
2025-01-01,Electronics,East,3,144.88
2025-01-01,Sports,West,4,69.84
2025-01-01,Home & Garden,South,4,67.02
2025-01-01,Sports,East,2,74.93
2025-01-01,Clothing,North,4,38.54
2025-01-01,Clothing,West,3,43.76
2025-01-01,Books,South,3,17.59
2025-01-01,Electronics,West,2,194.42
2025-01-01,Electronics,North,4,191.68
2025-01-01,Books,East,4,16.62
2025-01-01,Home & Garden,South,2,70.18
2025-01-01,Home & Garden,North,3,52.59
2025-01-01,Home & Garden,East,4,64.9
2025-01-01,Sports,West,4,71.24
2025-01-01,Clothing,South,4,46.52
2025-01-01,Electronics,North,4,187.85
2025-01-02,Clothing,South,4,41.85
2025-01-02,Clothing,North,1,55.12
2025-01-02,Clothing,East,2,33.66
2025-01-02,Sports,East,3,76.19
2025-01-02,Clothing,West,2,42.67
2025-01-02,Home & Garden,West,1,58.31
2025-01-02,Sports,North,1,60.38
2025-01-02,Electronics,West,2,198.74
2025-01-02,Clothing,East,4,49.25
2025-01-02,Home & Garden,South,4,54.07
2025-01-02,Electronics,North,1,147.79
2025-01-02,Home & Garden,East,1,60.14
2025-01-02,Electronics,South,3,198.06
2025-01-02,Home & Garden,North,2,59.31
2025-01-02,Home & Garden,West,1,48.12
2025-01-02,Books,South,4,15.56
2025-01-02,Electronics,West,4,170.47
2025-01-02,Clothing,West,2,43.64
2025-01-02,Electronics,South,4,202.79
2025-01-02,Electronics,East,2,186.51
2025-01-02,Electronics,South,4,182.04
2025-01-02,Clothing,East,2,45.17
2025-01-02,Clothing,North,3,38.11
2025-01-02,Home & Garden,West,1,72.27
2025-01-02,Home & Garden,East,1,73.21
2025-01-02,Clothing,West,1,38.76
2025-01-02,Clothing,South,2,49.31
2025-01-02,Electronics,North,4,152.66
2025-01-02,Sports,North,1,91.01
2025-01-02,Home & Garden,South,4,51.12
2025-01-02,Home & Garden,West,2,52.71
2025-01-03,Home & Garden,East,2,58.78
2025-01-03,Sports,West,2,68.39
2025-01-03,Electronics,East,1,166.99
2025-01-03,Clothing,South,4,56.98
2025-01-03,Electronics,West,4,166.64
2025-01-03,Electronics,North,3,160.54
2025-01-03,Sports,South,4,78.86
2025-01-03,Books,South,3,19.05
2025-01-03,Electronics,East,1,162.44
2025-01-03,Electronics,North,4,147.02
2025-01-03,Sports,West,4,86.65
2025-01-03,Sports,West,2,73.06
2025-01-03,Sports,South,2,65.73
2025-01-03,Electronics,South,2,221.63
2025-01-03,Books,South,1,14.32
2025-01-03,Sports,North,3,68.17
2025-01-03,Clothing,North,2,37.56
2025-01-03,Sports,South,2,65.91
2025-01-03,Electronics,East,1,189.26
2025-01-03,Electronics,North,4,197.53
2025-01-03,Clothing,North,4,39.34
2025-01-03,Electronics,East,1,171.11
2025-01-03,Clothing,East,2,45.24
2025-01-03,Books,North,4,16.71
2025-01-03,Home & Garden,South,2,64.89
2025-01-03,Electronics,West,2,161.33
2025-01-03,Clothing,North,4,46.23
2025-01-03,Electronics,North,1,186.3
2025-01-04,Clothing,North,4,43.75
2025-01-04,Home & Garden,East,4,63.85
2025-01-04,Electronics,South,4,164.94
2025-01-04,Electronics,South,3,153.74
2025-01-04,Sports,West,3,65.47
2025-01-04,Home & Garden,West,2,60.1
2025-01-04,Sports,South,2,93.83
2025-01-04,Electronics,West,3,233.27
2025-01-04,Electronics,West,1,172.78
2025-01-04,Electronics,North,4,155.81
2025-01-04,Electronics,West,4,194.81
2025-01-04,Electronics,East,1,145.16
2025-01-04,Electronics,East,1,189.25
2025-01-04,Electronics,South,3,210.66
2025-01-04,Home & Garden,West,2,61.45
2025-01-04,Sports,West,4,74.5
2025-01-04,Electronics,West,1,240.3
2025-01-04,Clothing,West,2,40.49
2025-01-04,Home & Garden,West,3,50.79
2025-01-04,Sports,North,1,76.24
2025-01-04,Electronics,West,4,195.35
2025-01-04,Books,South,4,19.01
2025-01-04,Clothing,East,4,45.01
2025-01-04,Clothing,South,3,55.81
2025-01-04,Home & Garden,West,2,62.57
2025-01-04,Electronics,North,1,134.69
2025-01-04,Home & Garden,East,1,46.93
2025-01-04,Home & Garden,East,2,60.4
2025-01-04,Clothing,North,2,54.64
2025-01-04,Books,West,2,21.52
2025-01-04,Clothing,West,4,48.73
2025-01-04,Sports,East,3,71.83
2025-01-04,Electronics,North,3,150.56
2025-01-04,Clothing,East,4,46.2
2025-01-04,Clothing,East,1,58.21
2025-01-04,Electronics,East,4,181.04
2025-01-04,Books,North,4,22.43
2025-01-04,Sports,West,4,60.31
2025-01-04,Electronics,East,3,164.47
2025-01-05,Electronics,East,1,214.63
2025-01-05,Home & Garden,East,3,63.76
2025-01-05,Sports,West,1,88.38
2025-01-05,Books,East,4,19.91
2025-01-05,Electronics,North,3,193.03
2025-01-05,Sports,South,3,79.82
2025-01-05,Sports,South,3,73.64
2025-01-05,Home & Garden,South,2,59.63
2025-01-05,Electronics,North,3,210.36
2025-01-05,Home & Garden,South,1,74.52
2025-01-05,Books,East,3,18.85
2025-01-05,Home & Garden,South,1,73.13
2025-01-05,Books,East,2,19.81
2025-01-05,Clothing,West,2,31.99
2025-01-05,Clothing,East,1,46.47
2025-01-05,Sports,South,4,57.78
2025-01-05,Home & Garden,South,3,65.0
2025-01-05,Sports,West,2,56.06
2025-01-05,Sports,West,4,66.1
2025-01-05,Electronics,West,3,186.72
2025-01-05,Sports,North,1,76.79
2025-01-05,Electronics,North,4,188.32
2025-01-05,Books,North,4,19.72
2025-01-05,Electronics,North,4,205.69
2025-01-05,Sports,East,2,55.32
2025-01-05,Electronics,West,4,203.49
2025-01-05,Sports,West,4,82.76
2025-01-05,Electronics,West,1,161.81
2025-01-06,Clothing,East,3,45.69
2025-01-06,Sports,South,1,54.54
2025-01-06,Electronics,North,2,202.0
2025-01-06,Books,East,3,19.09
2025-01-06,Clothing,North,1,44.18
2025-01-06,Clothing,South,1,40.98
2025-01-06,Electronics,South,4,162.58
2025-01-06,Sports,South,3,73.56
2025-01-06,Electronics,North,4,171.0
2025-01-06,Clothing,East,3,42.83
